,subj,sex,age,language,english,french,date,native_lang,block,trial,stim,pitch,stretch,reponse,rt,segment_time,stim_order,param_index
100,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,25,sounds\french\audio/french_919.wav,-50.18617417,1.92623259,0,0.389,0.0,,
101,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,25,sounds\french\audio/french_919.wav,-24.76321709,1.20800331,0,0.389,0.1,,
102,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,25,sounds\french\audio/french_919.wav,-27.90521194,0.01078602,0,0.389,0.2,,
103,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,25,sounds\french\audio/french_919.wav,55.47311868,0.27796628,0,0.389,0.25666667,,
104,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,26,sounds\french\audio/french_421.wav,97.07315942,0.55056447,1,1.697,0.0,,
105,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,26,sounds\french\audio/french_421.wav,-83.39673754,1.15764891,1,1.697,0.1,,
106,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,26,sounds\french\audio/french_421.wav,82.21564407,0.98396665,1,1.697,0.2,,
107,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,26,sounds\french\audio/french_421.wav,-4.22049535,0.77781273,1,1.697,0.25666667,,
108,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,27,sounds\french\audio/french_676.wav,77.51634327,0.52312795,0,0.601,0.0,,
109,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,27,sounds\french\audio/french_676.wav,-98.7950763,0.58996043,0,0.601,0.1,,
110,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,27,sounds\french\audio/french_676.wav,-10.44477989,1.89966038,0,0.601,0.2,,
111,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,27,sounds\french\audio/french_676.wav,3.71960258,0.61903343,0,0.601,0.25666667,,
112,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,28,sounds\french\audio/french_380.wav,24.49292531,0.14533116,0,0.695,0.0,,
113,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,28,sounds\french\audio/french_380.wav,-93.89933718,1.07880785,0,0.695,0.1,,
114,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,28,sounds\french\audio/french_380.wav,-85.93529796,1.01737492,0,0.695,0.2,,
115,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,28,sounds\french\audio/french_380.wav,58.85582409,1.87499145,0,0.695,0.25666667,,
116,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,29,sounds\french\audio/french_983.wav,-14.13750987,1.65765615,1,0.678,0.0,,
117,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,29,sounds\french\audio/french_983.wav,89.20229744,0.32114998,1,0.678,0.1,,
118,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,29,sounds\french\audio/french_983.wav,38.93652685,0.52368354,1,0.678,0.2,,
119,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,29,sounds\french\audio/french_983.wav,37.63986889,1.60531686,1,0.678,0.25666667,,
120,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,30,sounds\french\audio/french_1000.wav,-14.94486739,0.60674079,1,0.536,0.0,,
121,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,30,sounds\french\audio/french_1000.wav,-3.70752284,0.18450848,1,0.536,0.1,,
122,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,30,sounds\french\audio/french_1000.wav,-14.04083749,1.64475948,1,0.536,0.2,,
123,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,30,sounds\french\audio/french_1000.wav,-29.27941665,0.26397745,1,0.536,0.25666667,,
124,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,31,sounds\french\audio/french_641.wav,-92.89939655,0.72916007,0,1.474,0.0,,
125,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,31,sounds\french\audio/french_641.wav,80.14352585,1.01323436,0,1.474,0.1,,
126,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,31,sounds\french\audio/french_641.wav,74.03041043,0.998205,0,1.474,0.2,,
127,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,31,sounds\french\audio/french_641.wav,18.97683281,0.30086371,0,1.474,0.25666667,,
128,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,32,sounds\french\audio/french_359.wav,4.86221528,1.66863127,0,0.405,0.0,,
129,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,32,sounds\french\audio/french_359.wav,41.19609007,0.25992168,0,0.405,0.1,,
130,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,32,sounds\french\audio/french_359.wav,55.98013436,1.95186144,0,0.405,0.2,,
131,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,32,sounds\french\audio/french_359.wav,-59.88256532,1.64110453,0,0.405,0.25666667,,
132,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,33,sounds\french\audio/french_746.wav,-21.92593336,0.5521476,1,0.482,0.0,,
133,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,33,sounds\french\audio/french_746.wav,-33.34916741,1.58954792,1,0.482,0.1,,
134,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,33,sounds\french\audio/french_746.wav,-5.0291103,0.89586439,1,0.482,0.2,,
135,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,33,sounds\french\audio/french_746.wav,-67.6368859,0.35939035,1,0.482,0.25666667,,
136,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,34,sounds\french\audio/french_749.wav,-6.52512876,1.71102694,1,0.56,0.0,,
137,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,34,sounds\french\audio/french_749.wav,66.04972296,0.07130547,1,0.56,0.1,,
138,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,34,sounds\french\audio/french_749.wav,-72.89621134,1.03709586,1,0.56,0.2,,
139,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,34,sounds\french\audio/french_749.wav,-46.82302434,1.99027801,1,0.56,0.25666667,,
140,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,35,sounds\french\audio/french_118.wav,26.93316006,1.47067426,1,1.486,0.0,,
141,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,35,sounds\french\audio/french_118.wav,-22.92967869,1.58231537,1,1.486,0.1,,
142,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,35,sounds\french\audio/french_118.wav,-61.93287208,1.01494319,1,1.486,0.2,,
143,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,35,sounds\french\audio/french_118.wav,-97.08418949,0.71977579,1,1.486,0.25666667,,
144,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,36,sounds\french\audio/french_414.wav,-53.65137821,1.15122316,0,3.503,0.0,,
145,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,36,sounds\french\audio/french_414.wav,61.14227183,1.54420741,0,3.503,0.1,,
146,5,m,38,english,5,3,2024-02-13 17:59:28.521938,english,1,36,sounds\french\audio/french_414.wav,-13.28017505,1.48861563,0,3.503,0.2,,
