subj,trial,block,date,stim,stim_order,response,rt,age,french,english,language,sex,param_index,segment,pitch,stretch
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,1,0.1,6.94972025,1.64754835
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,2,0.2,98.20857903,0.34232644
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,3,0.3,-35.32566364,0.90396438
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,4,0.4,-66.21920686,1.59193054
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,5,0.5,-74.00275706,1.69980703
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,6,0.6,-89.76463472,0.62529401
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,7,0.7,90.23942867,0.0404836
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,8,0.8,-81.90686285,0.34890232
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,9,0.9,5.03977492,1.70546998
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,10,1.0,94.83681906,1.15170641
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,11,1.1,-46.16486493,0.22788225
60eb21bd3807b3a1810ea180,7,0,2024-02-27T11:17:09.361Z,french_444.wav,0,poule,1024,20,5,4,francias,f,12,1.14141667,7.32353635,1.99633075
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,0,0.0,-18.98003998,1.97060018
60eb21bd3807b3a1810ea180,8,0,2024-02-27T11:17:09.361Z,french_535.wav,0,pull,448,20,5,4,francias,f,1,0.1,1.56976446,1.58088169
